arroyo,"n. 干涸沟壑, 旱谷, 小河"
condign,"a. (尤指惩罚)应得的, 适宜的"
felicitous,"a. 巧妙的, 极为适当的, 善于措辞的, 可喜的"
inexpedient,"a. 不便的, 不适当的, 失策的"
opportune,"a. 恰好的, 时机适宜的, 适当的"
burial,"n. 埋葬, 葬礼
[法] 埋葬, 葬礼"
casualty,"n. 意外事故, 伤亡, 受害者
[化] 事故"
cemetery,"n. 墓地, 公墓
[法] 公墓, 墓地"
defunct,"a. 死的, 不能使用的
n. 死者"
execute,"vt. 执行, 实行, 完成, 处死, 制成
[计] 执行"
gallows,"n. 绞架, 绞刑
[法] 绞刑架, 绞台, 绞刑"
guillotine,"n. 断头台, 截断机, 切除器
vt. 用断头台斩首, 用截断机切"
inter,"vt. 埋葬
prep. 在中间"
lynch,"n. 私刑, 私罚
vt. 处以私刑处死, 加私刑"
mortality,"n. 必死的命运, 死亡数目, 死亡率
[医] 必死性, 死亡率"
mortuary,"n. 停尸间, 太平间
a. 丧葬的, 悲哀的, 埋葬的"
necropolis,"n. 大墓地, 史前坟场"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
slay,左捻
succumb,"vi. 屈从, 屈服, 死"
tombstone,墓碑
assassination,"n. 暗杀
[法] 暗杀, 行刺"
cadaver,"n. 死尸, 尸体
[医] 尸体"
hereafter,"n. 将来, 来世
adv. 此后, 将来, 来世"
mortician,"n. 殡仪业者
[医] 殡仪业者"
obsequy, 葬礼
postmortem,"[计] 算后检查, 事后剖析
[医] 死后"
knell,"n. 丧钟声, 哀伤的声音, 凶兆
v. 鸣丧钟"
mausoleum,"n. 陵墓, 阴森森的大厦"
morgue,"n. 陈尸所
[医] 停尸室"
nirvana,n. 天堂
paradise,"n. 天堂, 乐园, 伊甸园"
undertaker,"n. 承担者, 承办人, 企业家, 承办丧葬者, 殡仪员
[经] 承办商"
bereavement,"n. 丧亲, 丧友"
cremate,"vt. 烧成灰, 火葬"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
incinerator,"n. 焚烧装置, 焚烧炉, 焚尸炉
[化] 焚烧炉; 焚化炉; 煅烧炉"
adventitious,"a. 偶然的, 外来的
[医] 偶生的, 偶发的; 异位的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
episodic,a. 插曲似的
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
lot,[医] 左枕横(胎位)
lottery,"n. 奖券, 彩票, 运气
[经] 抽彩给奖法"
backfire,[化] 回火; 逆火
opportunistic,"a. 机会主义的, 投机取巧的"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
serendipitous,a. 偶然发现的
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
contort,"vt. 扭弯, 曲解
vi. 扭弯"
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
detour,"n. 绕路, 迂回
v. (使)绕道"
distort,"vt. 扭曲, 歪曲
[法] 歪区, 曲解, 纂改"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
grimace,"n. 鬼脸, 怪相
vi. 扮鬼脸, 作怪相"
misrepresent,"vt. 歪曲, 误传；不合适地代表
vi. 虚伪陈述；歪曲报道"
misrepresentation,n. 歪曲；误传
pliant,"a. 易弯的, 柔韧的, 柔顺的"
roundabout,"周围, 向相反方向, 迂回地, 大约"
serpentine,"a. 蛇的, 层层卷绕的, 阴险的, 迂回的
n. 蛇纹石, 弯弯曲曲之物
vi. 蜿蜒
vt. 使迂回曲折地行进"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
[医] 纡曲的, 弯曲的"
unbend,"vt. 把...弄直, 使...伸直, 放松, 使松弛, 解开
vi. 变直, 松弛"
warp,[网络] 翘曲分析；挠屈度
writhe,"n. 扭动, 盘绕, 苦恼
vt. 扭曲, 缠绕
vi. 蠕动, 扭动身体, 盘绕, 遭受苦难"
zigzag,"adj. 曲折的；锯齿形的；之字形的
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
n. 之字形；Z字形
adv. 曲折地；之字形地；Z字形地"
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
cow,"n. 母牛, 母兽
vt. 威胁"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
[计] 相关危险; 冒险"
hazardous,"a. 危险的, 冒险的, 碰运气的
[法] 危险的, 冒险的, 碰运气的"
imperil,"vt. 使处于危险, 危害"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
jeopardy,"n. 危难, 危险
[法] 危险, 危难, 危险处境"
juncture,"n. 接合, 连接, 接缝"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
minatory,a. 威胁的
parlous,"a. 危险的, 不易对付的, 精明的, 麻烦的
adv. 非常地, 极度地"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
perilous,"a. 危险的, 濒临毁灭的"
portentous,"a. 前兆的, 不吉的, 可惊的, 自大的"
precarious,"a. 不稳定的, 不安的, 危险的"
threat,"n. 恐吓, 恶兆, 威胁
[经] 威胁"
venturesome,"a. 冒险的, 好冒险的, 不顾一切的"
browbeat,v. 吓唬
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
deterrent,"a. 制止的, 威慑的, 遏制的
n. 威慑力量(或因素), 制止物"
gratuitous,"a. 免费的, 无理由的
[经] 无代价的"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
[法] 无根据的, 无稽的, 没有理的"
unjustified,"[计] 未经调整的, 未对齐的"
unsubstantiated,"[法] 未经证实的, 不能肯定的"
unwarranted,"a. 未获保证的, 无保证的, 未经授权的"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
customary,"a. 习惯的, 惯常的
[经] 通常的, 习惯的"
habituate,"vt. 使习惯于, 使熟习于"
inured,"a. 习惯的, 坚强的"
inveterate,"a. 根深的, 成癖的, 积习的
[医] 慢性顽固性的, 绵延难治的"
mores,"n. 习惯, 道德态度, 惯例, 习俗
[医] 风俗, 习惯"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
unwonted,"a. 不习惯的, 不寻常的, 非惯常的"
wont,[网络] 惯于
inure,"vt. 使…习惯；使…适应
vi. 适用；起作用；有助于"
convention,"n. 大会, 协定, 惯例, 约定
[计] 约定"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
[法] 相反的, 敌对的, 逆的"
antithesis,"n. 对偶, 对照, 对立面"
incommensurate,"a. 不相称的, 不适应的"
inverse,"以诗体,用诗歌"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
[计] 倒置; 反转"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
[计] 反转"
topsy-turvy,无
stupor,"n. 无感觉, 人事不省, 麻木
[医] 木僵, 昏呆"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
vertigo,"n. 眩晕, 迷惘
[医] 眩晕"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
demure,"a. 装成端庄的, 假正经的, 娴静的"
draconian,"a. 严厉的, 残酷的"
gravity,"n. 地心引力, 重力
[化] 重力"
harshly,"adv. 粗糙地, 粗暴地, 刺耳地"
solemn,"a. 严肃的, 郑重的, 庄严的"
solemnity,"n. 严肃, 一本正经
[法] 要式, 庄严的仪式, 严肃"
severity,"n. 严格, 朴素, 激烈"
uncharitable,"a. 无慈悲心的, 无情的, 不宽厚的"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
demanding,"a. 要求高的, 费力的"
dour,，气味，迹象
dangle,[网络] 巧克力
dodder,"vi. 摇摆, 蹒跚
n. 菟丝子"
hobble,"vi. 蹒跚
vt. 使跛行, 阻碍
n. 跛行"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
oscillate,"vi. 振动, 彷徨, 犹豫
vt. 使振动, 使动摇"
pendent,"a. 下垂的, 悬而未决的, 向外伸出的, 即将来临的
[法] 悬而未决的, 即将发生的, 即将来临的"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
[化] 摆"
rickety,"a. 患佝偻病的, 虚弱的, 摇摆的
[医] 佝偻病的"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
teeter,"vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板
n. 踉跄, 摇摆, 跷跷板"
totter,"vi. 蹒跚, 动摇
n. 蹒跚的步子"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
hesitance,"n. 踌躇, 犹豫"
reluctant,"a. 不情愿的, 勉强的
[法] 不愿的, 勉强的, 难以处理的"
indecisive,"a. 非决定性的, 犹豫不决的, 不明确的"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
sway,[网络] 在…的路上；终极手段；挤出一条路
trapeze,n. 吊秋千
doddering,"a. 衰老的, 蹒跚的, 老迈的, 老态龙钟的, 衰迈的"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
[经] 履行(契约), 满期"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
asymmetric,"a. 不对称的, 偏位的
[计] 非对称的, 不对称的, 不平衡的"
coincide,"vi. 一致, 符合；同时发生"
commensurate,"a. 同量的, 同等的, 相称的"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
congruous,"a. 一致的, 适合的, 符合的"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
correspondent,"n. 通讯记者, 通信者
[经] 客户, 代理商行, 代理银行"
harmony,"n. 协调, 和睦, 调和
[电] 和声学"
symmetry,"n. 对称, 匀称
[化] 对称; 对称性; 对称现象"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
[计] 计数"
unification,"n. 统一, 联合, 一致
[医] 连结; 统一"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
unify,"v. 统一, 使成一体"
identical,"a. 同一的, 恒等的, 完全相同的
[医] 同一的, 同等的"
resemblance,"n. 相似处, 类似, 肖像"
counterbalance,[化] 托盘天平
counterpoise,"衡重体,平衡器,平衡物,砝码;平衡网络;地网"
equilibrium,"n. 平衡, 平静, 均衡
[化] 平衡"
homogenize,"vi. 变均匀
vt. 使均匀"
interchangeable,adj. 可互换的；可交换的；可交替的
jibe,"vi. 嘲笑, 一致
vt. 转帆, 嘲笑
n. 嘲笑"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
asymmetrical,对称[的]；不平衡[的]
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
[计] 并行的; 并发的; 同时发生的; 共行的"
congruence,"n. 适合, 一致, 和谐"
equipoise,"n. 平衡, 均衡
vt. 使平衡, 使相称, 使相持不下"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
[化] 异常的"
anomalous,"a. 不规则的, 反常的
[医] 异常的, 反常的"
anomaly,"n. 不规则, 反常事物, 畸形
[医] 异常, 反常"
apparition,"n. 鬼, 幽灵, 幻影"
bizarre,a. 奇异的
deviant,"a. 不正常的
n. 不正常的人(或物)"
dysfunctional,a. 功能失调的
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
farce,"n. 闹剧, 滑稽剧, 胡闹"
freak,"n. 畸形人, 畸形物, 不正常的事物, 反复无常
a. 奇异的, 反常的"
grotesque,"n. 奇异风格, 怪异图案
a. 奇怪的, 可笑的"
heterodox,"a. 非正统的, 异端的"
miracle,"n. 奇迹, 奇事"
miraculous,"a. 奇迹的, 不可思议的"
misshapen,adj. 畸形的；丑恶的，怪异的
novelty,"n. 新奇, 新鲜, 新奇的事物"
offbeat,"n. 〔音〕弱拍
[网络] 最后一次心动；弱音；离拍，非强拍"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
preternatural,"a. 超自然的, 异常的"
prodigy,"n. 惊人的事物, 奇迹, 不凡的人, 奇才, 神童, 预兆"
singularity,"n. 奇异, 突出, 稀有
[化] 奇点"
unearthly,"a. 非世间的, 神秘的, 怪异的"
vagary,"n. 狂想, 奇特行为, 奇想"
amble,"n. 马的缓行步态, 缓行漫步
vi. 马缓行, 从容漫步"
dalliance,"n. 调戏, 调情"
dawdle,"v. 游手好闲, 混日子"
debauchery,"n. 放荡, 堕落"
feckless,"a. 无效的, 无能的, 不负责任的"
loiter,"v. 闲荡, 虚度, 徘徊"
peripatetic,"a. 徒步的, 漫游的
n. 走来走去的人, 游历"
promenade,"n. 散步, 骑马, 舞会
vi. 漫步, 兜风
vt. 在...散步"
ramble,"n. 漫步, 随笔
vi. 漫步, 漫谈, 漫游, 蔓延
vt. 闲逛于"
saunter,"n. 闲逛, 漫步
vi. 闲逛, 漫步"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
tarry,"vi. 耽搁, 逗留, 留住, 等候
n. 逗留
a. 涂了焦油的"
traipse,"vi. 闲荡, 疲惫地走
n. 闲荡"
vagrancy,"n. 漂泊, 流浪, 神思恍惚
[法] 流氓, 无赖"
vegetate,"vi. 植物似地生长, 过呆板单调的生活, 无所事事地生活, (赘疣)生长, 长大"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
incontrovertible,"a. 无争论余地的, 无疑的, 明白的
[法] 不可辩驳的, 不容置疑的"
indubitable,"a. 无疑的, 确实的, 明显的
[法] 不容置疑的, 明确的"
justifiable,"a. 可辩解的, 可证明的, 有理的
[法] 正当的, 不可非议的, 可办明的"
justification,n. 理由；辩护；认为有理，认为正当；释罪
justify,"vt. 替...辩护, 证明
vi. 证明合法
[计] 段落重排, 两端对齐"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
merited,a. 应得的；理所当然的
tenable,"a. 可守的, 站得住(脚)的, 合理的, 成立的"
undisputable,"a. 无可置否的, 无疑问的"
unexceptionable,adj. 无懈可击的；完美无缺的；极好的
unimpeachable,"a. 无懈可击的, 无可指责的, 无过失的"
warranted,a. 担保的；保证的
plausibility,"n. 似有道理, 貌似可信
[法] 花言巧语, 似乎有理"
commonplace,[网络] 公共位置；迷你涮涮锅；共同空间
demotic,"a. 人民的, 民众的, 通俗的"
orthodox,"a. 正统的, 传统的, 惯常的"
unexceptional,"a. 非例外的, 平常的, 不特别的, 不容许有例外的"
asphyxia,"n. 窒息
[医] 窒息; 无脉, 绝脉(旧名)"
respiration,"n. 呼吸, 一口气, 呼吸作用
[化] 呼吸"
strangulation,"n. 勒杀, 绞死, 压缩
[医] 绞窄; 勒颈, 勒颈窒息"
throttle,"n. 节流阀, 节气阀, 喉咙
vt. 扼喉咙, 使窒息, 压制, 使节流
vi. 窒息, 节流, 减速"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptable,"a. 能适应的, 适合的, 可修改的"
alter,v. 改变
ameliorate,"v. 改善, 改良, 改进"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
budge,"vi. 微微移动
vt. 推动
n. 羔羊皮"
caprice,"n. 反复无常, 多变, 任性"
capricious,"a. 反复无常的, 多变的, 任性的"
chasten,vt. 惩罚；磨炼；抑制
checkered,"a. 盛衰无常的, 多波折的, 有格子花的, 有...交错着的, 变化多端的
[机] 网纹板[钢板]"
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
deteriorate,v. (使)恶化
diversity,"n. 差异, 多样性
[化] 多样性"
emend,"vt. 修订, 校勘"
enhance,"vt. 提高, 加强, 增加"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
[计] 助焊剂"
fusion,"n. 熔合物, 结合, 熔合
[化] 熔融; 熔化; 聚变"
garble,"vt. 断章取义, 混淆
[电] 曲解"
garbled,"a. 断章取义的, 曲解的, 篡改的, 歪曲事实的, 混淆不清的
[计] 错乱的"
degradation,"n. 降格, 堕落, 退化
[计] 降级"
inconstancy,"n. 易变, 不定性, 反复无常"
innovation,"n. 改革, 创新
[法] 创新, 改革, 刷新"
innovative,"a. 革新的, 创新的, 富有革新精神的"
kaleidoscopic,"a. 万花筒似的, 千变万化的"
malleable,"a. 有延展性的, 可锻的
[医] 可展的, 易适应的"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
mercurial,"a. 水星的, 敏捷的, 活泼的, 水银的
n. 汞剂"
metamorphose,"vt. 使变形, 使变态, 使变质
vi. 变形, 变质"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
[计] 修改"
optimization,"n. 最佳化, 最优化
[计] 优化"
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
[化] ┚(音田)"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
recast,"vt. 重铸；彻底改动
n. 重铸；重做的事物"
reclaim,"vt. 要求收回, 试图取回, 要求重得, 要求恢复"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
[化] 精馏"
redirect,"vt. 使改方向；重新寄送
a. 再直接的
n. 再直接询问"
redress,"v. 再给…穿上；重新包扎(伤处)
[网络] 重新给…穿衣；重新装扮；再穿衣"
reshuffle,"vt. 重新洗牌；改组；重作安排
n. 重新洗牌；改组"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
tamper,"vi. 干预, 拨弄, 贿赂, 损害, 篡改
vt. 篡改
n. 捣棒, 打夯机, 填塞者"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
[化] 跃迁"
transmute,"vt. 使变形, 使变质
vi. 变形, 变质"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
veer,"vi. 转向
vt. 使转向
n. 转向"
vicissitude,"n. 变化无常, 变迁, 荣枯, 盛衰"
vicissitudinous,"a. 世事变化的, 变迁的, 有盛衰的"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
[计] 易失的"
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
whimsy,"n. 怪念头, 离奇的东西, 反复无常, 绞盘"
distract,"vt. 转移, 分心, 使发狂"
interchange,"vt. （指两人等）交换；互换
vi. 交换；相互交换
n. 互换；立体交叉道"
remodel,vt. 改造；改变；改型
recast,"vt. 重铸；彻底改动
n. 重铸；重做的事物"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
divert,"vt. 转移, 使欢娱
vi. 转移"
incorrigibility,"n. 屡教不改, 难望矫正"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
restore,[网络] 再储藏；恢复
restored,a. 精力充沛的；精力恢复的
restoration,"n. 恢复, 归还, 复位
[医] 恢复, 康复, 复位, 回复, 修复"
shunt,"vt. 使转轨, 使分流, 回避讨论, 推延
vi. 转向一边, 转轨, 往返
n. 转轨, 分流"
snip,"v. 剪, 剪断, 削减, 删节
n. 剪, (剪刀的)一剪, 不足道的人"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
contortion,"n. 扭弯, 扭歪, 曲解
[医] 扭歪, 扭转"
diversion,n. 转移；消遣；分散注意力
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
[计] 还原"
reassure,"vt. 使…安心, 使消除疑虑"
backslide,"vi. 堕落, 退步
n. 堕落, 退步"
rehabilitate,"vt. 恢复原状, 修复, 使康复
[法] 恢复, 使恢复心理健康, 修复"
rehabilitative,"a. 使复原的, 复职的"
reinstate,vt. 使恢复；使复原
recuperative,"a. 恢复的, 有恢复力的
[医] 复原的, 恢复的"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
