accustom,vt. 使习惯于
dissolve,"v. 溶解, 解散"
domestic violence,"n. 家庭暴力
[网络] 家暴；家庭内暴力；家庭暴力罪"
dove,"n. 鸽子
dive的过去式"
drug abuse,"na. 吸毒上瘾
[网络] 药物滥用；滥用药物；滥用毒品"
drug king,无
drunk driving,n. <美>酒后驾驶
Duma,n. 杜马(俄国会)
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
economic sanction,[经] 经济制裁
economic take-off,un. 经济起飞
EI Nino,无
electric power,[化] 电力; 电功率
eliminate,"vt. 除去, 排除, 剔除, 消除"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
enlisted man,士兵
envoy,"n. 外交使节, 特使
[法] 使者, 代表, 使节"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
exclusive interview,专访
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
[经] 展览会, 集市, 义卖市场"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看
n. (Eye)人名；(德)艾厄；(英)艾"
face-to-face talk,[网络] 会晤；面晤；面谈
family planning,"计划生育
[法] 计划生育"
fault,"n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误
vi. 弄错；产生断层
vt. （通常用于疑问句或否定句）挑剔"
flea market,"na. 欧洲街道上的廉价品和旧货市场
[网络] 跳蚤市场；二手市场；拍卖"
flying squad,"[法] 机动警察, 警察追捕队"
foe,abbr. Fraternal Order of Eagles
frame-up,"na. 诬害；〈美俚〉阴谋
[网络] 罗织；陷害；陷井"
front page,"n. 网页制作, 首页；网页设计"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
guest of honor,n. 主宾
guest team,客队
gunman,"n. 枪手, 持枪的歹徒, 制造枪械者
[法] 持枪歹徒, 持枪抢劫或杀人者, 枪炮工人"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
[计] 停止"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
heroin,"n. 海洛因, 吗啡
[化] 海洛因; 二醋吗啡; 二乙酰吗啡"
hit product,【商业】拳头产品
hit-and-runner,"[法] 肇事后逃跑的司机, 打人后逃跑者"
home team,"un. 〔体〕主队
[网络] 主队或后攻队；主场球队；少年足球队"
honor guard,n. 仪仗队
hostage,"n. 人质, 抵押品
[经] 人质, 抵押品"
housing reform,"住房改革
房改"
idle money,[经] 游资
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
in another related development,无
interim government,过渡政府
invitation meet,无
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
jobless,"a. 失职的, 无职业的
[经] 失业的"
judo,"n. 柔道
[医] 揉术, 柔道(日本的一种武术)"
karate,n. 空手道
knock-out system,淘汰制
knowledge economy,知识经济
laid-off,[经] 被解雇的
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
leading actor,n. 主角
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
man of mark,名人，知名人物
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
medium,"n. （传播信息的）媒介；手段；工具；方法
adj. 中等的；中号的
[网络] 灵媒缉凶；一般；中等个子"
mercy killing,"na. 减少痛苦的处决；无痛苦致死术
[网络] 安乐死；怜悯杀人"
Moslem,"n. 穆斯林
a. 穆斯林的, 伊斯兰教的"
national anthem,"国歌
[法] 国歌"
negative vote,[法] 反对票
news agency, 通讯社
news briefing,新闻发布会
news conference,记者招待会
news flash,"电讯,简讯,新闻短讯"
nominate,"vt. 提名, 任命, 命名
[法] 提名...为候选人, 指定, 推荐"
nominee,"n. 被提名者, 被任命者
[经] 被指定人"
on standby," 随时准备行动, 处于待命状态; 等退票（或余票）"
on-the-spot broadcasting,无
opinion poll,"n. 选举投票, 民意测验"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
[法] 神裁判法, 严酷的考验, 痛苦的经验"
outbreak,"n. 爆发, 暴动
[医] 暴发"
output,"n. 输出, 产品, 产量
[计] 输出"
overseas student,留学生
overwhelming majority,"[法] 压倒的多数, 绝大多数"
pact,"n. 契约, 协定, 条约
[化] 合同"
parliament,"n. 国会, 议会
[法] 会议, 国会, 议院"
passerby,n. 过路人; 经过者
pay-to-the-driver bus,无
peaceful co-existence,"na. 和平共处
[网络] 和平共存；平和共存；和谐相处"
peace-keeping force,(联合国)维持和平部队
peak viewing time,"n. 收视最高时段
[网络] 黄金时间；高峰期；金子时间"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
pension insurance,[经] 退休金保险
Pentagon,"n. 五角形, 五边形
[经] 五角平台"
perk,"v. 振作；〈口〉过滤；(病后)复原；抬头
n. 津贴
adj. 〈罕〉同“perky”
[网络] 技能；破壳；外快"
pit,"pit1
[pit]
n.
[美国英语](桃、杏、梅子等的)果核，核
vi.
除去…的核：
除去…的核：
变形：
vi.
pitted
. pitting
pit2
[pit]
n.
坑；地坑；深洼；地洞
深渊，绝境
[the Pit]地狱
陷阱，圈套；意外困难；罗网
矿井，矿；煤矿
专用坑；工业用坑；窑
斗兽场；兽栏
躯体的凹部；物体表面的凹陷
(平面上的)小凹陷；(尤指)天花疤痕；麻子点
低洼之处
心窝；胳肢窝
[英国英语](剧场)楼下正厅(尤指正厅后座)；正厅后座观众；(舞台前的)乐池
【植物学】纹孔
【工业】接受箱，均热炉
【军事】散兵坑；靶壕；炮兵掩体
蚀损斑；氢气泡疤
[美国英语](交易所中)某种商品的交易场
[美国英语](汽车)修理站，(汽车修理厂的)修车场地
(田径场上的)沙坑，木屑坑；(地滚球木柱落入的)终点坑；【美式橄榄球】(进攻和防守之间的)争夺区；棒球联赛的最低位
(卡西诺赌场的)赌台区
[英国方言]坟墓
[英国俚语]床；卧室
[英国俚语]衣袋
[美国俚语]最次的东西；最坏的状况
vt.
把…放进坑内，窖藏：
挖坑于；使凹下；使成凹：
使留下疤痕：
把(鸡等)放进斗场内使互斗；使竞争：
vi.
起凹点；变得坑坑洼洼：
(赛车中为加油或检修)小停：
【医学】(浮肿的皮肤被按后)起凹陷：
短语:
at the pit't brink
快死
dig a pit for someone
为某人挖陷阱(陷害某人)，设法使某人落入圈套
fly(或shoot) the pit
(斗鸡)飞出斗鸡场，转尾而逃
[俚语]不付房钱而潜逃；逃之夭夭，仓皇逃走
of (great) pit and moment
非常重要的
pit of the stomach
心窝，胸口
power of pit and gallows (或gallows and pit)
见 power
the bottomless pit
地狱 [亦作the pit of hell]
the pits
[美国俚语]最恶劣的地方(或条件等)，最令人厌恶的地方(或环境、情况等)；极糟
变形：
vt.
pitted
. pitting"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
[法] 抗辩, 申诉案件, 答辩"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
PM,"abbr. (=prime minister)总理；首相；午后
n. 总理（全写为 prime minister）
[网络] 下午；项目管理(Project Management)；颗粒物(particulate matter)"
prime minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
[计] 轮询"
pope,"n. 罗马教皇, 主教"
poverty-stricken area,[网络] 贫困地区；贫穷地区；贫困落后山区
power failure,停电
premiere,"v. 初次公演, 首次露面
n. 初次的演出
a. 首次的, 首位的"
press briefing,[网络] 新闻发布会；新闻简报会；组织新闻发布会
press corps,n. 记者团
press for,"na. 催逼；(时间)迫促；(资金)短少
[网络] 迫切要求；催促；敦促"
press spokesman, 新闻发言人
prize-awarding ceremony,无
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
[计] 提示符; DOS内部命令:设定DOS命令行的提示符"
protocol,"n. 议定书；礼仪；外交礼节；条约草案
v. 打(草稿)；(把…)记入议定书
[网络] 协议；协定；通讯协定"
public servant,"[经] 公务员, 公仆"
questionnaire,"n. 调查表, 问卷
[经] 调查表"
quick-frozen food,[食品] 快速冻结食品
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
[计] 结束, 退出"
racial discrimination,[法] 种族歧视
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行
n. (Rage)人名；(丹)拉厄"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
[计] 廉价磁盘冗余阵列"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
red-carpet welcome,无
red-hot news,[网络] 新闻
red-letter day,[网络] 大喜之日；大喜日子；纪念日
redundant,"a. 多余的, 过多的, 冗长的
[医] 过多的, 多余的"
re-employment,n. 重新使用；重新雇用
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
[计] 取消权限程序"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
[计] 规则, 水线"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
[法] 丑事, 丑闻, 干丑事的人"
senate,"n. 参议院, 立法机构, 评议会"
slay,"v. 杀害, 残杀"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
squeeze,"v. 挤压；挤出；捏；（使）挤入
n. 挤压；塞；捏；榨出的液体
[网络] 压榨；榨取；紧缩"
standoff,"疏远, 离岸, 避开
[法] 避开, 不接近, 临时解雇"
strife,"n. 争吵, 竞争, 冲突"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
[计] 电压尖峰"
swindle,"n. 骗取, 欺诈, 骗局
v. 骗取, 诈取"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
[计] 交换机；开关; 翻转; 转移"
swoop,"n. 俯冲, 攫取
vt. 抓取
vi. 猛扑, 突然袭击"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
talks,n. 会谈
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
tenure of office,"[法] 在职, 任期"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
ties,n. 结
top news,头条新闻
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
[计] TOP协议"
tornado,"n. 旋风, 龙卷风, 大雷雨"
traffic tie-up,[网络] 交通瘫痪
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
[计] 切换开关"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
[计] 库存管理检查规则程序"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
tsunami,n. 海啸
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
vehicle-free promenade,无
veto,"n. 否决权
vt. 否决, 禁止"
vote down,"na. 否决
[网络] 投票否决；否决权；罢免"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
walkout,"罢工, 领出(某人), 退席
[法] 罢工, 退席抗议, 离开"
wed,"v. 结婚；娶；嫁
short. we had；we would
[网络] 星期三(Wednesday)；周三；与…结婚"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
well-off level,无
well-to-do level,无
wreckage,"n. 残骸, 失事, 破坏
[经] (船双等的)失事遭难"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
adapt to,适应…;适合…
agree in,"na. (意见)相合；(想法)一致
[网络] 在……方面一致；在……上相同；在…意见一致"
agree upon,"就…取得一致意见,商定…"
agree with,"同意…,与…意见一致;适应…"
allow for,"虑及, 体谅"
amount to,"[经] 等于, 相当于"
answer back,"na. 回嘴；顶嘴
[网络] 应答；回答讯号；应答机"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
anything but,"单单除...之外, 决不"
apply to,抹；涂；把...应用于
ask for,"na. 要(价)；来找
[网络] 请求；要求；要求得到"
as regards,"关于, 至于"
as a result,因此;结果
as a result of,作为结果
as such,"照比, 本身"
as well,n. (Aswell)人名；(英)阿斯韦尔
at a glance,"看一眼, 一下子"
be accustomed to,习惯于
be alike to,与相像
because of,因为
be confronted with,面临
be consistent with,与...一致
be doomed to,注定要…
be equal to,"胜任, 相等, 合适"
be equipped with,"配备有,装备有…"
be familiarized with,无
be guilty of,"犯有,因…而感到内疚"
be in step with,无
be in condition,身体很好[不适]
be made from,"用…制造,由…制成"
be made up of,由...所组成
be out of condition,身体很好[不适]
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be relevant to,与...有关
be similar to,与...相似
be suited to,[网络] 适合于；适宜；合适
be used to,习惯于
beyond the reach of,...所不及的
break away,"n. 脱离, (美)(非正式)一碰就散开/脱落的, 分裂"
break down,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解
[化] 发生故障"
break off,"v. 断绝；摘；把…折断；使脱落
[网络] 中断；突然停止；打断"
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
by chance,"偶然, 也许"
by experience,通过经验…
by heart,[网络] 凭记忆；牢记；凭记性
by comparison with,与…相比
in comparison with,与...比较
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"n. 呼入；调入；收回；召集
n. (Callin)人名；(法)卡兰；(瑞典)卡林"
call over,n. 点名
call out,"召唤...行动, 唤起, 大声叫唤"
call upon," 号召, 拜访; 省视"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
[网络] 赶上；追上；跟上"
clear up,"n. 整理; 破案; 治愈
a. （案件）已经了结的; （罪犯）已捉拿的"
coincide with,符合
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
compare with,"比较…,跟…相比,比得上…"
consist of,由...组成
count down,"n. 倒计数
[电] 指示串联中的操作数固定的记录减少"
count in,"na. 算入
[网络] 把…计算在内；把……算入；算上"
count on,"依靠, 指望"
count out,"(英下院)不满法定人数（40人）的休会, [体]（拳击）（对被击倒者宽限的）10秒, 数10下, [美]被故意少报票数而落选的候选人"
deal with,"安排, 处理, 涉及, 做生意"
defend oneself by doing sth.,无
derive from,从...得到；从...获取
descend from,从…下来;是…的后裔
devote to, 把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注
do away with,"废除, 弄死"
disapprove of,"不赞成,不同意"
dismay at,对…感到惊愕(或灰心)
distaste for,无
dissatisfaction with,无
engage in,"使从事于, 参加"
except for,"除...以外
[经] 除...外"
get about,"na. 走动；旅行；(消息等)传开；参加社会活动
[网络] 微型轿车"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
[网络] 讲清楚；使被理解；解释清楚"
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get away,"na. 逃脱；出发；把…送出
[网络] 离开；逃离；逃跑"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
get back,"na. 取回；回来；送回；〈俚〉报复
[网络] 收回；回家；取回物品"
get back at,"报复,对…进行报复"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
[网络] 到达；收割；进站"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get round to, 设法找到足够的时间去做（某事）; 说服
go about,"从事, 走动, 传开"
go in for,"参加, 追求, 从事, 赞成"
go over,"转变, 仔细检查, 润色, 复习"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
hand down,"na. 宣布(判决等)；传下来
[网络] 把…传下去；传给；传递"
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
hand out,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
[网络] 交出；让与；交给"
